,DATE,NAME,PRCP,SNWD,STATION,TAVG,TMAX,TMIN,YEAR
0,1955-01-01,"HELLINIKON, GR",0.0,,GR000016716,,18.5,10.2,1955
1,1955-01-02,"HELLINIKON, GR",2.0,,GR000016716,,14.4,7.0,1955
2,1955-01-03,"HELLINIKON, GR",0.0,,GR000016716,,15.8,9.6,1955
3,1955-01-04,"HELLINIKON, GR",0.0,,GR000016716,,18.8,7.3,1955
4,1955-01-05,"HELLINIKON, GR",0.0,,GR000016716,,17.9,8.4,1955
5,1955-01-06,"HELLINIKON, GR",0.0,,GR000016716,,19.5,9.0,1955
6,1955-01-07,"HELLINIKON, GR",0.0,,GR000016716,,18.0,8.6,1955
7,1955-01-08,"HELLINIKON, GR",0.0,,GR000016716,,18.0,13.6,1955
8,1955-01-09,"HELLINIKON, GR",3.0,,GR000016716,,17.3,12.1,1955
9,1955-01-10,"HELLINIKON, GR",0.0,,GR000016716,,17.8,8.6,1955
10,1955-01-11,"HELLINIKON, GR",0.5,,GR000016716,,16.2,10.2,1955
11,1955-01-12,"HELLINIKON, GR",0.0,,GR000016716,,17.8,8.5,1955
12,1955-01-13,"HELLINIKON, GR",0.0,,GR000016716,,20.8,8.8,1955
13,1955-01-14,"HELLINIKON, GR",0.0,,GR000016716,,21.0,10.0,1955
14,1955-01-15,"HELLINIKON, GR",0.0,,GR000016716,,21.8,11.2,1955
15,1955-01-16,"HELLINIKON, GR",0.0,,GR000016716,,19.0,9.0,1955
16,1955-01-17,"HELLINIKON, GR",0.0,,GR000016716,,18.6,8.2,1955
17,1955-01-18,"HELLINIKON, GR",0.0,,GR000016716,,18.6,14.5,1955
18,1955-01-19,"HELLINIKON, GR",1.5,,GR000016716,,18.2,14.0,1955
19,1955-01-20,"HELLINIKON, GR",5.6,,GR000016716,,17.2,10.0,1955
20,1955-01-21,"HELLINIKON, GR",10.8,,GR000016716,,15.0,12.0,1955
21,1955-01-22,"HELLINIKON, GR",27.7,,GR000016716,,12.8,9.5,1955
22,1955-01-23,"HELLINIKON, GR",0.0,,GR000016716,,14.8,7.4,1955
23,1955-01-24,"HELLINIKON, GR",0.0,,GR000016716,,13.6,9.2,1955
24,1955-01-25,"HELLINIKON, GR",0.0,,GR000016716,,11.8,8.1,1955
25,1955-01-26,"HELLINIKON, GR",0.0,,GR000016716,,12.7,6.5,1955
26,1955-01-27,"HELLINIKON, GR",0.0,,GR000016716,,13.9,6.7,1955
27,1955-01-28,"HELLINIKON, GR",0.0,,GR000016716,,14.2,4.3,1955
28,1955-01-29,"HELLINIKON, GR",0.0,,GR000016716,,16.8,9.6,1955
29,1955-01-30,"HELLINIKON, GR",16.0,,GR000016716,,15.9,10.5,1955
30,1955-01-31,"HELLINIKON, GR",0.0,,GR000016716,,18.8,8.0,1955
31,1955-02-01,"HELLINIKON, GR",0.0,,GR000016716,,15.6,8.5,1955
32,1955-02-02,"HELLINIKON, GR",3.6,,GR000016716,,18.8,11.0,1955
33,1955-02-03,"HELLINIKON, GR",9.3,,GR000016716,,14.2,8.0,1955
34,1955-02-04,"HELLINIKON, GR",4.8,,GR000016716,,14.2,5.2,1955
35,1955-02-05,"HELLINIKON, GR",14.9,,GR000016716,,14.4,9.7,1955
36,1955-02-06,"HELLINIKON, GR",0.0,,GR000016716,,19.0,8.4,1955
37,1955-02-07,"HELLINIKON, GR",0.0,,GR000016716,,17.6,6.6,1955
38,1955-02-08,"HELLINIKON, GR",0.0,,GR000016716,,17.7,12.0,1955
39,1955-02-09,"HELLINIKON, GR",0.0,,GR000016716,,18.6,10.3,1955
40,1955-02-10,"HELLINIKON, GR",0.0,,GR000016716,,18.0,8.7,1955
41,1955-02-11,"HELLINIKON, GR",0.0,,GR000016716,,21.7,8.6,1955
42,1955-02-12,"HELLINIKON, GR",0.0,,GR000016716,,19.2,8.6,1955
43,1955-02-13,"HELLINIKON, GR",0.0,,GR000016716,,17.9,11.8,1955
44,1955-02-14,"HELLINIKON, GR",0.0,,GR000016716,,19.0,10.4,1955
45,1955-02-15,"HELLINIKON, GR",0.0,,GR000016716,,17.5,8.3,1955
46,1955-02-16,"HELLINIKON, GR",0.0,,GR000016716,,15.3,4.8,1955
47,1955-02-17,"HELLINIKON, GR",0.0,,GR000016716,,19.2,11.0,1955
48,1955-02-18,"HELLINIKON, GR",0.0,,GR000016716,,21.0,15.8,1955
49,1955-02-19,"HELLINIKON, GR",0.0,,GR000016716,,20.4,11.5,1955
50,1955-02-20,"HELLINIKON, GR",0.0,,GR000016716,,20.2,9.1,1955
51,1955-02-21,"HELLINIKON, GR",0.0,,GR000016716,,18.0,10.2,1955
52,1955-02-22,"HELLINIKON, GR",0.0,,GR000016716,,16.4,8.5,1955
53,1955-02-23,"HELLINIKON, GR",0.0,,GR000016716,,17.3,8.0,1955
54,1955-02-24,"HELLINIKON, GR",0.0,,GR000016716,,18.2,10.7,1955
55,1955-02-25,"HELLINIKON, GR",0.0,,GR000016716,,20.6,13.8,1955
56,1955-02-26,"HELLINIKON, GR",0.0,,GR000016716,,19.7,15.4,1955
57,1955-02-27,"HELLINIKON, GR",0.0,,GR000016716,,19.8,6.2,1955
58,1955-02-28,"HELLINIKON, GR",0.0,,GR000016716,,17.0,8.9,1955
59,1955-03-01,"HELLINIKON, GR",0.0,,GR000016716,,17.6,11.9,1955
60,1955-03-02,"HELLINIKON, GR",12.2,,GR000016716,,18.3,7.0,1955
61,1955-03-03,"HELLINIKON, GR",2.8,,GR000016716,,10.8,6.6,1955
62,1955-03-04,"HELLINIKON, GR",0.8,,GR000016716,,10.2,3.2,1955
63,1955-03-05,"HELLINIKON, GR",0.0,,GR000016716,,8.4,1.4,1955
64,1955-03-06,"HELLINIKON, GR",0.0,,GR000016716,,14.0,0.0,1955
65,1955-03-07,"HELLINIKON, GR",0.0,,GR000016716,,14.4,1.6,1955
66,1955-03-08,"HELLINIKON, GR",0.0,,GR000016716,,18.6,9.9,1955
67,1955-03-09,"HELLINIKON, GR",0.0,,GR000016716,,19.3,11.0,1955
68,1955-03-10,"HELLINIKON, GR",0.3,,GR000016716,,16.1,10.2,1955
69,1955-03-11,"HELLINIKON, GR",0.0,,GR000016716,,17.0,11.7,1955
70,1955-03-12,"HELLINIKON, GR",0.0,,GR000016716,,15.1,7.6,1955
71,1955-03-13,"HELLINIKON, GR",0.2,,GR000016716,,11.6,7.7,1955
72,1955-03-14,"HELLINIKON, GR",1.0,,GR000016716,,13.0,7.8,1955
73,1955-03-15,"HELLINIKON, GR",0.0,,GR000016716,,11.2,7.0,1955
74,1955-03-16,"HELLINIKON, GR",0.0,,GR000016716,,11.7,6.2,1955
75,1955-03-17,"HELLINIKON, GR",0.0,,GR000016716,,14.0,3.8,1955
76,1955-03-18,"HELLINIKON, GR",0.0,,GR000016716,,16.0,7.0,1955
77,1955-03-19,"HELLINIKON, GR",0.0,,GR000016716,,18.5,5.9,1955
78,1955-03-20,"HELLINIKON, GR",0.0,,GR000016716,,19.0,6.4,1955
79,1955-03-21,"HELLINIKON, GR",0.0,,GR000016716,,20.3,9.0,1955
80,1955-03-22,"HELLINIKON, GR",0.0,,GR000016716,,19.0,8.5,1955
81,1955-03-23,"HELLINIKON, GR",0.3,,GR000016716,,19.4,11.3,1955
82,1955-03-24,"HELLINIKON, GR",0.0,,GR000016716,,19.9,11.7,1955
83,1955-03-25,"HELLINIKON, GR",0.0,,GR000016716,,20.8,11.3,1955
84,1955-03-26,"HELLINIKON, GR",0.0,,GR000016716,,21.3,9.0,1955
85,1955-03-27,"HELLINIKON, GR",0.0,,GR000016716,,22.1,10.5,1955
86,1955-03-28,"HELLINIKON, GR",0.0,,GR000016716,,23.0,14.0,1955
87,1955-03-29,"HELLINIKON, GR",0.0,,GR000016716,,22.6,14.5,1955
88,1955-03-30,"HELLINIKON, GR",0.0,,GR000016716,,23.5,13.9,1955
89,1955-03-31,"HELLINIKON, GR",0.0,,GR000016716,,24.6,13.8,1955
90,1955-04-01,"HELLINIKON, GR",0.0,,GR000016716,,25.8,16.3,1955
91,1955-04-02,"HELLINIKON, GR",0.0,,GR000016716,,23.4,15.0,1955
92,1955-04-03,"HELLINIKON, GR",0.0,,GR000016716,,17.2,11.7,1955
93,1955-04-04,"HELLINIKON, GR",0.6,,GR000016716,,17.6,10.4,1955
94,1955-04-05,"HELLINIKON, GR",0.8,,GR000016716,,15.0,11.0,1955
95,1955-04-06,"HELLINIKON, GR",0.0,,GR000016716,,17.3,6.6,1955
96,1955-04-07,"HELLINIKON, GR",0.0,,GR000016716,,14.9,6.4,1955
97,1955-04-08,"HELLINIKON, GR",0.0,,GR000016716,,15.0,6.6,1955
98,1955-04-09,"HELLINIKON, GR",0.0,,GR000016716,,17.6,6.8,1955
99,1955-04-10,"HELLINIKON, GR",0.0,,GR000016716,,20.7,12.4,1955
100,1955-04-11,"HELLINIKON, GR",0.0,,GR000016716,,19.3,8.8,1955
101,1955-04-12,"HELLINIKON, GR",3.0,,GR000016716,,19.7,12.0,1955
102,1955-04-13,"HELLINIKON, GR",0.3,,GR000016716,,20.3,11.7,1955
103,1955-04-14,"HELLINIKON, GR",3.6,,GR000016716,,16.2,11.1,1955
104,1955-04-15,"HELLINIKON, GR",18.1,,GR000016716,,17.7,8.6,1955
105,1955-04-16,"HELLINIKON, GR",1.0,,GR000016716,,19.6,10.6,1955
106,1955-04-17,"HELLINIKON, GR",0.0,,GR000016716,,19.2,8.9,1955
107,1955-04-18,"HELLINIKON, GR",0.0,,GR000016716,,18.5,8.4,1955
108,1955-04-19,"HELLINIKON, GR",3.2,,GR000016716,,16.3,9.3,1955
109,1955-04-20,"HELLINIKON, GR",0.1,,GR000016716,,17.1,7.6,1955
110,1955-04-21,"HELLINIKON, GR",0.0,,GR000016716,,17.0,6.1,1955
111,1955-04-22,"HELLINIKON, GR",0.0,,GR000016716,,17.0,7.3,1955
112,1955-04-23,"HELLINIKON, GR",0.0,,GR000016716,,19.6,9.0,1955
113,1955-04-24,"HELLINIKON, GR",0.0,,GR000016716,,19.7,9.0,1955
114,1955-04-25,"HELLINIKON, GR",1.0,,GR000016716,,20.2,13.4,1955
115,1955-04-26,"HELLINIKON, GR",2.8,,GR000016716,,15.2,10.6,1955
116,1955-04-27,"HELLINIKON, GR",0.0,,GR000016716,,18.8,9.5,1955
117,1955-04-28,"HELLINIKON, GR",0.0,,GR000016716,,21.1,9.0,1955
118,1955-04-29,"HELLINIKON, GR",0.0,,GR000016716,,21.0,10.0,1955
119,1955-04-30,"HELLINIKON, GR",0.0,,GR000016716,,20.0,11.0,1955
120,1955-05-01,"HELLINIKON, GR",0.0,,GR000016716,,23.0,10.0,1955
121,1955-05-02,"HELLINIKON, GR",0.0,,GR000016716,,20.6,13.4,1955
122,1955-05-03,"HELLINIKON, GR",0.0,,GR000016716,,23.8,12.8,1955
123,1955-05-04,"HELLINIKON, GR",0.0,,GR000016716,,23.5,13.0,1955
124,1955-05-05,"HELLINIKON, GR",0.0,,GR000016716,,24.0,13.0,1955
125,1955-05-06,"HELLINIKON, GR",0.0,,GR000016716,,22.3,14.0,1955
126,1955-05-07,"HELLINIKON, GR",0.0,,GR000016716,,22.0,13.3,1955
127,1955-05-08,"HELLINIKON, GR",0.0,,GR000016716,,22.9,13.2,1955
128,1955-05-09,"HELLINIKON, GR",0.0,,GR000016716,,27.4,13.4,1955
129,1955-05-10,"HELLINIKON, GR",0.0,,GR000016716,,26.2,13.2,1955
130,1955-05-11,"HELLINIKON, GR",0.3,,GR000016716,,23.2,13.6,1955
131,1955-05-12,"HELLINIKON, GR",0.0,,GR000016716,,24.9,12.0,1955
132,1955-05-13,"HELLINIKON, GR",0.0,,GR000016716,,24.8,17.1,1955
133,1955-05-14,"HELLINIKON, GR",0.0,,GR000016716,,24.3,16.6,1955
134,1955-05-15,"HELLINIKON, GR",0.0,,GR000016716,,23.4,14.7,1955
135,1955-05-16,"HELLINIKON, GR",0.0,,GR000016716,,24.0,15.2,1955
136,1955-05-17,"HELLINIKON, GR",0.0,,GR000016716,,25.4,17.0,1955
137,1955-05-18,"HELLINIKON, GR",0.0,,GR000016716,,25.6,16.4,1955
138,1955-05-19,"HELLINIKON, GR",0.0,,GR000016716,,27.6,17.1,1955
139,1955-05-20,"HELLINIKON, GR",0.0,,GR000016716,,28.6,18.0,1955
